Class,Order,Family,Genus,Species,Common.Name,X.M.F.Both.,Length..cm.,Height,Diet,Feeding.Guild,Habitat,Water.Column,reference
Actinopterygii,Eupercaria,Labridae,Coris,venusta,Elegant coris,Both,13.2,3.13,"Bivalves, gastropods, crabs, sea urchins, heart urchins, hermit crabs, shrimps, polychaetes, amphipods, isopods, chitons,foraminiferans",Invertivore,"Shallow sand, rubble areas",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=7826&what=species&TotRec=3
Actinopterygii,Eupercaria,Labridae,Coris,ballieui,Lined coris,M,22.9,6,Unknown,Invertivore,"Sand, rubble, rocky areas",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=60816&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Coris,ballieui,Lined coris,F,18.3,4.11,Unknown,Invertivore,"Sand, rubble, rocky areas",Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=60816&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Coris,flavovittata,Yellowstripe coris,M,47.2,13.62,"Sea urchins, heart urchins, bivalves, gastropods, brittle stars, crabs, hermit crabs and polychaetes.",Invertivore,Reefs with sand rubbles,,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=7827&what=species&TotRec=7
Actinopterygii,Eupercaria,Labridae,Coris,flavovittata,Yellowstripe coris,F,18.5,4.49,"Sea urchins, heart urchins, bivalves, gastropods, brittle stars, crabs, hermit crabs and polychaetes.",Invertivore,Reefs with sand rubbles,,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=7827&what=species&TotRec=7
Actinopterygii,Eupercaria,Labridae,Conniella,apterygia,Mutant wrasse,Both,10.7,2.05,Unknown,Invertivore,Rubble bottoms of outer reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=25764&what=species
Actinopterygii,Centrarchiformes,Cirrhitidae,Cirrhitus,pinnulatus,Stocky hawkfish,Both,14.6,4.34,"Crabs, fishes, sea urchins","Invertivore, piscivore",Seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5831&what=species&TotRec=7
Actinopterygii,Centrarchiformes,Cirrhitidae,Cirrhitops,fasciatus,Redbarred hawkfish,Both,8.4,2.37,"Fishes, shrimps, crabs, zooplankton","Invertivore, piscivore, planktivore",Seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=7792&what=species&TotRec=5
Actinopterygii,Centrarchiformes,Cirrhitidae,Cirrhitichthys,aureus,Yellow hawkfish,Both,10.8,3.8,Unknown,Unknown,Outer reef dropoffs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=10473&what=species&TotRec=4
Actinopterygii,Centrarchiformes,Cirrhitidae,Cirrhitichthys,aprinus,Spotted hawkfish,Both,6,1.85,Unknown,Unknown,"Coastal, seaward reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=6604&what=species&TotRec=8
Actinopterygii,Centrarchiformes,Cirrhitidae,Cirrhitichthys,falco,Dwarf hawkfish,Both,6.8,1.98,Unknown,Unknown,Seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=6&ID=5445&what=species&TotRec=9
Actinopterygii,Centrarchiformes,Cirrhitidae,Cirrhitichthys,oxycephalus,Coral hawkfish,Both,5.4,1.55,"Crustaceans, small fishes","Invertivore, piscivore","Coastal, lagoon, outer reefs",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5830&what=species&TotRec=10
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,cyanopleura,Blueside wrasse,M,9.9,2.58,Zooplankton,Invertivore,"Coral areas of lagoons, seaward slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=5106&what=species&TotRec=13
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,cyanopleura,Blueside wrasse,F,6.6,1.67,Zooplankton,Invertivore,"Coral areas of lagoons, seaward slopes",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=5106&what=species&TotRec=13
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,katherinae,Katherine's wrasse,M,NA,NA,Unknown,Invertivore,"Outer reef slopes,clear lagoons",Benthic,
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,katherinae,Katherine's wrasse,F,7.9,1.9,Unknown,Invertivore,"Outer reef slopes,clear lagoons",Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=7582&what=species
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,joanallenae,Joan's fairy-warsse,M,NA,NA,Unknown,Invertivore,Rubble bottoms,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=60740&what=species
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,joanallenae,Joan's fairy-warsse,F,NA,NA,Unknown,Invertivore,Rubble bottoms,Benthic,
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,condei,Conde's wrasse,M,7.7,1.86,Unknown,Invertivore,Coral and rubble areas of seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=54179&what=species&TotRec=3
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,condei,Conde's wrasse,F,NA,NA,Unknown,Invertivore,Coral and rubble areas of seaward reefs,Benthic,
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,filamentosus,Whip-fin wrasse,M,8.8,2.41,Zooplankton,Invertivore,Rubble bottoms,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=10615&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,filamentosus,Whip-fin wrasse,F,5.5,1.59,Zooplankton,Invertivore,Rubble bottoms,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=3&ID=10615&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,tonozukai,Tono's wrasse,M,NA,NA,Unknown,Invertivore,Rubble areas near seaward reefs,Benthic,https://www.fishbase.se/summary/59640
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,tonozukai,Tono's wrasse,F,NA,NA,Unknown,Invertivore,Rubble areas near seaward reefs,Benthic,
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,luteovittatus,Yellowband wrasse,M,10.05,2.36,Zooplankton,Invertivore,Lagoon patch reefs,Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=7&ID=17451&what=species&TotRec=9
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,luteovittatus,Yellowband wrasse,F,5.7,1.42,Zooplankton,Invertivore,Lagoon patch reefs,Benthopelagic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=17451&what=species&TotRec=9
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,sp,,Both,NA,NA,Unknown,Invertivore,Outer reefs,Benthic,
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,walshi,Samoan fairy wrasse,Both,NA,NA,Unknown,Invertivore,Seaward reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?ID=59511&what=species
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,rubripinnis,Redfin wrasse,M,7.6,1.89,Zooplankton,Invertivore,Coastal reef slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=2&ID=13042&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,rubripinnis,Redfin wrasse,F,4.7,1.23,Zooplankton,Invertivore,Coastal reef slopes,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=13042&what=species&TotRec=5
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,laboutei,Laboute's wrasse,M,6.9,1.83,Unknown,Invertivore,Coral reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=4&ID=13023&what=species&TotRec=6
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,laboutei,Laboute's wrasse,F,11.8,2.82,Unknown,Invertivore,Coral reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=13023&what=species&TotRec=6
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,rubrimarginatus,Red-margined wrasse,M,NA,NA,Unknown,Invertivore,Patch reefs,Benthic,
Actinopterygii,Eupercaria,Labridae,Cirrhilabrus,rubrimarginatus,Red-margined wrasse,F,5.6,1.48,Unknown,Invertivore,Patch reefs,Benthic,https://www.fishbase.se/photos/PicturesSummary.php?StartRow=0&ID=7586&what=species&TotRec=14
